date,time,ecg
11/10/2017,10:17:08.299,238
11/10/2017,10:17:08.349,241
11/10/2017,10:17:08.353,241
11/10/2017,10:17:08.402,243
11/10/2017,10:17:08.403,246
11/10/2017,10:17:08.447,245
11/10/2017,10:17:08.448,241
11/10/2017,10:17:08.500,17
11/10/2017,10:17:08.502,16
11/10/2017,10:17:08.542,249
11/10/2017,10:17:08.543,250
11/10/2017,10:17:08.600,0
11/10/2017,10:17:08.603,21
11/10/2017,10:17:08.648,222
11/10/2017,10:17:08.650,0
11/10/2017,10:17:08.701,252
11/10/2017,10:17:08.702,255
11/10/2017,10:17:08.739,4
11/10/2017,10:17:08.740,9
11/10/2017,10:17:08.798,13
11/10/2017,10:17:08.800,18
11/10/2017,10:17:08.844,53
11/10/2017,10:17:08.846,65
11/10/2017,10:17:08.886,74
11/10/2017,10:17:08.888,59
11/10/2017,10:17:08.935,3
11/10/2017,10:17:08.936,0
11/10/2017,10:17:08.988,253
11/10/2017,10:17:08.990,252
11/10/2017,10:17:09.037,252
11/10/2017,10:17:09.039,249
11/10/2017,10:17:09.083,250
11/10/2017,10:17:09.137,250
11/10/2017,10:17:09.139,251
11/10/2017,10:17:09.181,248
11/10/2017,10:17:09.184,249
11/10/2017,10:17:09.228,251
11/10/2017,10:17:09.229,249
11/10/2017,10:17:09.280,249
11/10/2017,10:17:09.281,245
11/10/2017,10:17:09.327,22
11/10/2017,10:17:09.330,21
11/10/2017,10:17:09.376,248
11/10/2017,10:17:09.378,245
11/10/2017,10:17:09.422,245
11/10/2017,10:17:09.423,8
11/10/2017,10:17:09.475,185
11/10/2017,10:17:09.478,223
11/10/2017,10:17:09.520,253
11/10/2017,10:17:09.521,252
11/10/2017,10:17:09.567,6
11/10/2017,10:17:09.619,7
11/10/2017,10:17:09.634,19
11/10/2017,10:17:09.636,22
11/10/2017,10:17:09.668,56
11/10/2017,10:17:09.672,69
11/10/2017,10:17:09.713,88
11/10/2017,10:17:09.715,76
11/10/2017,10:17:09.768,13
11/10/2017,10:17:09.770,6
11/10/2017,10:17:09.819,254
11/10/2017,10:17:09.823,253
11/10/2017,10:17:09.863,248
11/10/2017,10:17:09.867,247
11/10/2017,10:17:09.905,2
11/10/2017,10:17:09.959,254
11/10/2017,10:17:09.961,254
11/10/2017,10:17:09.962,252
11/10/2017,10:17:10.012,250
11/10/2017,10:17:10.015,249
11/10/2017,10:17:10.063,253
11/10/2017,10:17:10.068,252
11/10/2017,10:17:10.104,254
11/10/2017,10:17:10.105,254
11/10/2017,10:17:10.153,253
11/10/2017,10:17:10.156,1
11/10/2017,10:17:10.202,23
11/10/2017,10:17:10.204,23
11/10/2017,10:17:10.248,2
11/10/2017,10:17:10.249,254
11/10/2017,10:17:10.305,251
11/10/2017,10:17:10.308,254
11/10/2017,10:17:10.346,72
11/10/2017,10:17:10.347,96
11/10/2017,10:17:10.398,245
11/10/2017,10:17:10.399,248
11/10/2017,10:17:10.444,0
11/10/2017,10:17:10.446,2
11/10/2017,10:17:10.499,11
11/10/2017,10:17:10.500,14
11/10/2017,10:17:10.543,35
11/10/2017,10:17:10.544,45
11/10/2017,10:17:10.588,88
11/10/2017,10:17:10.643,90
11/10/2017,10:17:10.646,27
11/10/2017,10:17:10.646,12
11/10/2017,10:17:10.695,242
11/10/2017,10:17:10.697,244
11/10/2017,10:17:10.739,237
11/10/2017,10:17:10.740,237
11/10/2017,10:17:10.793,240
11/10/2017,10:17:10.796,242
11/10/2017,10:17:10.841,247
11/10/2017,10:17:10.842,244
11/10/2017,10:17:10.886,247
11/10/2017,10:17:10.887,246
11/10/2017,10:17:10.942,247
11/10/2017,10:17:10.943,248
11/10/2017,10:17:11.123,250
11/10/2017,10:17:11.127,250
11/10/2017,10:17:11.157,250
11/10/2017,10:17:11.158,250
11/10/2017,10:17:11.159,3
11/10/2017,10:17:11.160,1
11/10/2017,10:17:11.160,246
11/10/2017,10:17:11.161,16
11/10/2017,10:17:11.178,11
11/10/2017,10:17:11.179,1
11/10/2017,10:17:11.226,245
11/10/2017,10:17:11.227,242
11/10/2017,10:17:11.276,69
11/10/2017,10:17:11.278,96
11/10/2017,10:17:11.334,233
11/10/2017,10:17:11.335,234
11/10/2017,10:17:11.372,254
11/10/2017,10:17:11.373,221
11/10/2017,10:17:11.420,13
11/10/2017,10:17:11.421,6
11/10/2017,10:17:11.468,31
11/10/2017,10:17:11.469,25
11/10/2017,10:17:11.518,58
11/10/2017,10:17:11.519,59
11/10/2017,10:17:11.567,45
11/10/2017,10:17:11.569,7
11/10/2017,10:17:11.620,212
11/10/2017,10:17:11.673,195
11/10/2017,10:17:11.674,201
11/10/2017,10:17:11.675,202
11/10/2017,10:17:11.710,217
11/10/2017,10:17:11.760,219
11/10/2017,10:17:11.761,214
11/10/2017,10:17:11.818,206
11/10/2017,10:17:11.819,182
11/10/2017,10:17:11.869,212
11/10/2017,10:17:11.870,226
11/10/2017,10:17:11.908,225
11/10/2017,10:17:11.909,216
11/10/2017,10:17:11.962,226
11/10/2017,10:17:11.964,241
11/10/2017,10:17:12.019,211
11/10/2017,10:17:12.020,221
11/10/2017,10:17:12.064,251
11/10/2017,10:17:12.066,247
11/10/2017,10:17:12.106,202
11/10/2017,10:17:12.108,214
11/10/2017,10:17:12.151,246
11/10/2017,10:17:12.152,250
11/10/2017,10:17:12.200,214
11/10/2017,10:17:12.201,232
11/10/2017,10:17:12.247,173
11/10/2017,10:17:12.262,8
11/10/2017,10:17:12.356,238
11/10/2017,10:17:12.360,242
11/10/2017,10:17:12.395,33
11/10/2017,10:17:12.396,43
11/10/2017,10:17:12.460,59
11/10/2017,10:17:12.463,51
11/10/2017,10:17:12.493,16
11/10/2017,10:17:12.494,13
11/10/2017,10:17:12.543,253
11/10/2017,10:17:12.544,253
11/10/2017,10:17:12.592,5
11/10/2017,10:17:12.593,8
11/10/2017,10:17:12.640,9
11/10/2017,10:17:12.641,14
11/10/2017,10:17:12.704,28
11/10/2017,10:17:12.711,32
11/10/2017,10:17:12.735,31
11/10/2017,10:17:12.737,21
11/10/2017,10:17:12.785,1
11/10/2017,10:17:12.786,1
11/10/2017,10:17:12.845,247
11/10/2017,10:17:12.848,249
11/10/2017,10:17:12.880,9
11/10/2017,10:17:12.934,252
11/10/2017,10:17:12.937,241
11/10/2017,10:17:12.938,238
11/10/2017,10:17:12.985,4
